Q1067185	Q1323191	P106	Charlotte Flemming	costume designer	occupation
Q17087888	Q245068	P106	Tom Segura	comedian	occupation
Q5664739	Q82955	P106	Alejandrino Maguiña	politician	occupation
Q28819492	Q1650915	P106	Ben Hachey	researcher	occupation
Q5403045	Q639669	P106	Dimitri Sjöberg	musician	occupation
Q790805	Q116	P106	Bar-Sur	monarch	occupation
Q12045062	Q177220	P106	Petr Traxler	singer	occupation
Q5024419	Q486748	P106	Calvin Jackson	pianist	occupation
Q18986737	Q2374149	P106	José Linares	botanist	occupation
Q3822087	Q4263842	P106	Salvador Bécquer Puig	literary critic	occupation
Q6257875	Q19204627	P106	John Simmons	American football player	occupation
Q16299394	Q16533	P106	Tapani Jatkola	judge	occupation
Q2636707	Q937857	P106	Jhoel Herrera	association football player	occupation
Q109379	Q36180	P106	Mirjam Müntefering	writer	occupation
Q7104130	Q82955	P106	Orsat Miljenić	politician	occupation
Q21038706	Q36180	P106	Eric Fitzwater Wilkinson	writer	occupation
Q3838032	Q10843402	P106	Luca Belfiore	swimmer	occupation
Q2742867	Q49757	P106	Clotilde de Vaux	poet	occupation
Q19720824	Q15296811	P106	Jos Boomkamp	drawer	occupation
Q56506858	Q13219587	P106	Joel Dear	figure skater	occupation
Q862061	Q1622272	P106	Bill Dobbins	university teacher	occupation
Q190240	Q42603	P106	Cyprian	priest	occupation
Q6396273	Q639669	P106	Kevin Figueiredo	musician	occupation
Q3474803	Q937857	P106	Saïd Hammouni	association football player	occupation
Q6503806	Q40348	P106	Lawrence Ang	lawyer	occupation
Q21750317	Q937857	P106	Jesús Alberto Moreno	association football player	occupation
Q52558749	Q2145981	P106	Henri S.A. Douwes	restorer	occupation
Q452257	Q937857	P106	Carla Overbeck	association football player	occupation
Q5213053	Q1086863	P106	Dan Ackman	columnist	occupation
Q2562861	Q13418253	P106	Werner Weinberg	philologist	occupation
Q1562461	Q1622272	P106	Justo Lacunza	university teacher	occupation
Q31211224	Q4009406	P106	Miguel Angel González	sprinter	occupation
Q1288964	Q42603	P106	Ferenc Sipos	priest	occupation
Q969286	Q1622272	P106	Marcel Cohen	university teacher	occupation
Q1124129	Q10833314	P106	Maurice Ruah	tennis player	occupation
Q5939627	Q40348	P106	José Fernando Franco González-Salas	lawyer	occupation
Q17058199	Q10866633	P106	Hassan Farhan	speed skater	occupation
Q23883900	Q33999	P106	Omer Shahzad	actor	occupation
Q7559068	Q488205	P106	Solé	singer-songwriter	occupation
Q48694408	Q1650915	P106	Suzanne Karan	researcher	occupation
Q22687408	Q33999	P106	George Diab	actor	occupation
Q16027718	Q2904166	P106	Michel Weinberg	clinical biologist	occupation
Q1080694	Q15980158	P106	Christian Krumm	non-fiction writer	occupation
Q1955333	Q639669	P106	Musiq Soulchild	musician	occupation
Q6193328	Q12013238	P106	Ernst Franke	ophthalmologist	occupation
Q145944	Q42973	P106	Cyrillus Johansson	architect	occupation
Q28785757	Q82955	P106	Ilkka Mertsalmi	politician	occupation
Q3144564	Q937857	P106	Héctor Ramos	association football player	occupation
Q1706522	Q82955	P106	Joseph Aristide Landry	politician	occupation
Q42162557	Q937857	P106	Théo Collette	association football player	occupation
